X,Y,annualmean,annualvariance,annualstddev,directionannualmean,objectid
-10766819.972,3078566.0544,0.15011984,0.00926159,0.09623718,83.14508582,145663
-10766819.972,3088532.7915,0.15477665,0.00942716,0.09709354,79.06933302,145664
-10766819.9721,3098506.5361,0.15567389,0.00946608,0.09729379,68.39433101,145665
-10766819.972,3108487.3178,0.15519023,0.00950382,0.09748752,55.04536844,145666
-10766819.972,3118475.1659,0.15454903,0.00955071,0.09772771,44.19906634,145667
-10766819.972,3128470.1101,0.15432957,0.00963986,0.09818278,39.47473703,145668
-10766819.972,3138472.1796,0.15442544,0.00973479,0.09866504,37.90343189,145669
-10766819.972,3148481.4044,0.15437974,0.00983315,0.09916223,39.27056911,145670
-10766819.972,3158497.8141,0.15404142,0.00996798,0.09983975,45.0423042,145671
-10766819.972,3168521.439,0.15308304,0.01011406,0.10056867,59.68717067,145672
-10766819.972,3178552.3086,0.15764838,0.01101219,0.10493896,92.11865208,145673
-10766819.9719,3188590.4531,0.15918902,0.01218231,0.11037352,160.10201295,145674
-10766819.972,3198635.9029,0.16186027,0.01315697,0.11470383,186.14347097,145675
-10766819.972,3208688.6878,0.16546291,0.01382467,0.11757835,198.48172518,145676
-10766819.972,3218748.8385,0.16784334,0.01399884,0.11831669,212.86174361,145677
-10766819.972,3228816.3852,0.16873328,0.01397362,0.11821007,229.28173061,145678
-10766819.972,3238891.3588,0.16811301,0.0139301,0.11802582,235.52873825,145679
-10766819.972,3248973.7896,0.16643845,0.01427231,0.11946677,231.96299735,145680
-10766819.972,3259063.7085,0.15530014,0.01316639,0.11474489,218.4388509,145681
-10766819.972,3269161.1462,0.10887726,0.00698,0.08354642,211.01021932,145682
-10766819.972,3279266.1338,0.07012101,0.00303658,0.0551052,180,145683
-10766819.972,3289378.7022,0.03148757,0.00050295,0.02242647,238.27520208,145684
-10757914.4117,3008992.6645,0.17551196,0.01539253,0.12406664,21.68092536,145685
-10757914.4117,3018911.1618,0.17007488,0.01432635,0.11969275,24.61326014,145686
-10757914.4118,3028836.4638,0.16468997,0.01319147,0.1148541,30.4160193,145687
-10757914.4117,3038768.5994,0.15933578,0.01219128,0.11041414,39.84897261,145688
-10757914.4117,3048707.5973,0.15533639,0.01125894,0.10610817,54.11779568,145689
-10757914.4117,3058653.4865,0.15362641,0.01029153,0.10144718,67.99341658,145690
-10757914.4117,3068606.2958,0.15723427,0.00975911,0.09878822,70.56834518,145691
-10757914.4117,3078566.0544,0.16320395,0.0098751,0.09937356,63.25132326,145692
-10757914.4117,3088532.7915,0.16584742,0.00994102,0.09970466,50.86874257,145693
-10757914.4117,3098506.5361,0.16624269,0.01012097,0.10060304,35.8008005,145694
-10757914.4117,3108487.3178,0.16586073,0.01024936,0.1012391,25.17372832,145695
-10757914.4117,3118475.1659,0.16541354,0.01034388,0.10170487,20.28333945,145696
-10757914.4117,3128470.1099,0.16503672,0.01035829,0.1017757,19.617956,145697
-10757914.4117,3138472.1797,0.16440299,0.01028029,0.10139174,20.42304924,145698
-10757914.4117,3148481.4043,0.16308123,0.01020201,0.10100503,22.48361325,145699
-10757914.4118,3158497.8142,0.16194409,0.01019385,0.10096458,26.49605817,145700
-10757914.4117,3168521.439,0.16117117,0.01020206,0.10100525,32.21194262,145701
-10757914.4117,3178552.3086,0.1587532,0.01019842,0.10098723,38.50894971,145702
-10757914.4117,3188590.4531,0.15933539,0.01100174,0.10488918,61.91725115,145703
-10757914.4117,3198635.9028,0.16276811,0.01220299,0.11046716,161.46393096,145704
-10757914.4117,3208688.6878,0.16571201,0.01348881,0.11614136,198.60891843,145705
-10757914.4117,3218748.8385,0.16767029,0.01400372,0.11833731,207.51207127,145706
-10757914.4117,3228816.3853,0.16958025,0.01404012,0.11849103,220.08628831,145707
-10757914.4117,3238891.3589,0.16916913,0.01385664,0.11771425,232.60891343,145708
-10757914.4117,3248973.7896,0.16312142,0.01310497,0.11447693,243.38101635,145709
-10757914.4117,3259063.7084,0.14596397,0.0106315,0.10310917,256.45376379,145710
-10757914.4117,3269161.1462,0.08420138,0.00352356,0.05935958,267.54583643,145711
-10749008.8515,3008992.6645,0.18084176,0.01456036,0.1206663,18.32901221,145712
-10749008.8515,3018911.1617,0.17575093,0.01400851,0.11835755,22.92798046,145713
-10749008.8515,3028836.4638,0.17161717,0.01330945,0.1153666,30.36647256,145714
-10749008.8515,3038768.5994,0.16846551,0.01260996,0.1122941,39.81544696,145715
-10749008.8514,3048707.5973,0.16611929,0.01177166,0.10849726,49.09532123,145716
-10749008.8515,3058653.4865,0.16951871,0.01133057,0.10644513,54.55171505,145717
